created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2024-05-28T19:14:30-04:00,1,0,0,0,0,,,,
2024-05-28T19:15:31-04:00,2,0,0,0,0,,,,
2024-05-28T19:16:33-04:00,3,0,0,0,0,,,,
2024-05-28T19:17:33-04:00,4,0,0,0,0,,,,
2024-05-28T19:18:34-04:00,5,0,0,0,0,,,,
2024-05-28T19:19:35-04:00,6,0,0,0,0,,,,
2024-05-28T19:20:35-04:00,7,0,0,0,0,,,,
2024-05-28T19:21:36-04:00,8,0,0,0,0,,,,
2024-05-28T19:22:36-04:00,9,1,0.38641589639154456,0.000758836693609736,1.4901900593268567e-06,,,,
2024-05-28T19:23:37-04:00,10,0,0,0,0,,,,
2024-05-28T19:24:38-04:00,11,4,1.5456635855661782,0.14937781939974493,0.10763324225032647,,,,
2024-05-28T19:25:39-04:00,12,0,0,0,0,,,,
2024-05-28T19:26:39-04:00,13,1,0.38641589639154456,0.0029009291644577985,-0.0027790387061085607,,,,
2024-05-28T19:27:40-04:00,14,7,2.704911274740812,0.5441670451600759,0.9442082418556996,,,,
2024-05-28T19:28:41-04:00,15,0,0,0,0,,,,
2024-05-28T19:29:41-04:00,16,2,0.7728317927830891,0.09239939375967196,0.0421649434725824,,,,
2024-05-28T19:30:42-04:00,17,4,1.5456635855661782,0.10916190199639872,0.0055675435055923105,,,,
2024-05-28T19:31:42-04:00,18,8,3.0913271711323564,0.1787395035768414,0.04812729545643139,,,,
2024-05-28T19:32:43-04:00,19,2,0.7728317927830891,0.044740050021685476,0.0033666782724624616,,,,
2024-05-28T19:33:43-04:00,20,0,0,0,0,,,,
2024-05-28T19:34:44-04:00,21,5,1.9320794819577227,0.23747389823892937,0.052600700998981134,,,,
2024-05-28T19:35:45-04:00,22,1,0.38641589639154456,0.00798750644134773,-0.006635397672138413,,,,
2024-05-28T19:36:48-04:00,23,0,0,0,0,,,,
2024-05-28T19:37:49-04:00,24,0,0,0,0,,,,
2024-05-28T19:38:49-04:00,25,0,0,0,0,,,,
2024-05-28T19:39:50-04:00,26,0,0,0,0,,,,
2024-05-28T19:40:50-04:00,27,0,0,0,0,,,,
2024-05-28T19:41:51-04:00,28,2,0.7728317927830891,0.7753777302194885,3.104725843795351,,,,
2024-05-28T19:42:51-04:00,29,0,0,0,0,,,,
2024-05-28T19:43:52-04:00,30,7,2.704911274740812,0.4332387226776483,0.10585992766002714,,,,
2024-05-28T19:44:52-04:00,31,10,3.8641589639154454,0.2771968651481311,0.10844266149200639,,,,
2024-05-28T19:45:53-04:00,32,0,0,0,0,,,,
