created_at,entry_id,field1,field2,field3,field4,,,,,,
2025-05-07T18:53:14-04:00,1,2,0.860796387,0.016933481,0.000343531,,,,,,
2025-05-07T18:54:16-04:00,2,3,1.291194581,0.019215984,1.23E-05,,,,,,
2025-05-07T18:55:17-04:00,3,3,1.291194581,0.0199648,1.01E-05,,avg speed,,,dist,
2025-05-07T18:56:18-04:00,4,4,1.721592774,2.151492385,42.20083219,,SS,VDO,,SS,VDO
2025-05-07T18:57:19-04:00,5,3,1.291194581,0.020622171,5.91E-07,,0.019184109,0.14,,6.455972904,0
2025-05-07T18:59:22-04:00,6,5,2.151990968,0.036302159,0.000552673,,0.039421945,0.14,,12.05114942,10
2025-05-07T19:00:23-04:00,7,6,2.582389161,0.039058722,1.31E-05,,0.058030571,0.14,,18.50712232,0
2025-05-07T19:01:25-04:00,8,5,2.151990968,0.040030161,1.82E-05,,0.078308185,0.14,,24.53269703,20
2025-05-07T19:02:26-04:00,9,6,2.582389161,0.040606924,8.33E-06,,0.098849768,0.14,,29.69747536,30
2025-05-07T19:03:27-04:00,10,6,2.582389161,0.041111759,3.82E-06,,0.120700059,0.14,,37.01424464,30
2025-05-07T19:05:57-04:00,11,8,3.443185548,0.055626631,0.000756986,,0.141402044,0.14,,42.60942116,40
2025-05-07T19:06:58-04:00,12,9,3.873583742,1.002996601,18.6252573,,0.162385686,0.14,,49.49579226,50
2025-05-07T19:08:00-04:00,13,10,4.303981935,0.909672367,16.76897707,,0.182308639,0.17,,55.52136696,50
2025-05-07T19:09:01-04:00,14,8,3.443185548,0.060780534,1.26E-05,,0.202818706,0.19,,61.54694167,60
2025-05-07T19:10:03-04:00,15,8,3.443185548,0.057684548,0.000284107,,,,,,
2025-05-07T19:15:10-04:00,16,11,4.734380129,0.075498592,0.000989159,,,,,,
2025-05-07T19:16:13-04:00,17,11,4.734380129,0.079574417,1.31E-05,,,,,,
2025-05-07T19:17:15-04:00,18,11,4.734380129,0.076866724,0.000353719,,,,,,
2025-05-07T19:18:16-04:00,19,12,5.164778323,0.081293006,1.23E-05,,,,,,
2025-05-07T19:19:18-04:00,20,12,5.164778323,0.787771023,14.01898015,,,,,,
2025-05-07T19:22:39-04:00,21,13,5.595176516,0.095271757,0.00134447,,,,,,
2025-05-07T19:23:41-04:00,22,14,6.02557471,0.096914048,0.00042931,,,,,,
2025-05-07T19:24:42-04:00,23,14,6.02557471,0.101295448,1.44E-05,,,,,,
2025-05-07T19:25:43-04:00,24,14,6.02557471,0.101824223,8.43E-06,,,,,,
2025-05-07T19:26:44-04:00,25,14,6.02557471,0.098943364,0.000443236,,,,,,
2025-05-07T19:27:56-04:00,26,2,0.860796387,0.102738025,3.84E-06,,,,,,
2025-05-07T19:29:53-04:00,27,17,7.31676929,0.117002076,0.001490412,,,,,,
2025-05-07T19:30:54-04:00,28,17,7.31676929,0.12146257,1.45E-05,,,,,,
2025-05-07T19:31:55-04:00,29,17,7.31676929,0.118786755,0.000523719,,,,,,
2025-05-07T19:32:56-04:00,30,17,7.31676929,0.123121456,6.65E-06,,,,,,
2025-05-07T19:33:57-04:00,31,18,7.747167484,0.123127438,8.59E-07,,,,,,
2025-05-07T19:37:29-04:00,32,19,8.177565677,0.136646915,0.001948173,,,,,,
2025-05-07T19:38:30-04:00,33,20,8.607963871,0.142687457,1.47E-05,,,,,,
2025-05-07T19:39:31-04:00,34,20,8.607963871,0.143499042,1.41E-05,,,,,,
2025-05-07T19:40:32-04:00,35,20,8.607963871,0.143894121,-4.77E-07,,,,,,
2025-05-07T19:41:33-04:00,36,20,8.607963871,0.140282683,0.000600257,,,,,,
2025-05-07T19:44:05-04:00,37,23,9.899158451,0.158641646,0.002012642,,,,,,
2025-05-07T19:45:07-04:00,38,23,9.899158451,0.163846532,1.39E-05,,,,,,
2025-05-07T19:46:08-04:00,39,23,9.899158451,0.160767702,0.000684146,,,,,,
2025-05-07T19:47:09-04:00,40,23,9.899158451,0.164342861,-1.17E-06,,,,,,
2025-05-07T19:48:10-04:00,41,23,9.899158451,0.164329688,-2.19E-06,,,,,,
2025-05-07T19:50:05-04:00,42,26,11.19035303,0.180053754,0.002294471,,,,,,
2025-05-07T19:51:06-04:00,43,26,11.19035303,0.184849256,6.85E-06,,,,,,
2025-05-07T19:52:07-04:00,44,26,11.19035303,0.184857612,-2.53E-06,,,,,,
2025-05-07T19:53:09-04:00,45,25,10.75995484,0.180954478,0.000753324,,,,,,
2025-05-07T19:54:10-04:00,46,26,11.19035303,0.180828096,0.000779554,,,,,,
2025-05-07T19:55:11-04:00,47,1,0.430398194,0.184337497,-1.25E-05,,,,,,
