,interval_group,count,average_value,sum_value,standard_deviation,standard_error,,,,
1,485010,15,0.046480309,0.69720463,0.142937102,0.036906201,,,,
2,485011,58,0.151613821,8.793601599,0.193085204,0.025353329,,,,
3,485012,59,0.305869777,18.04631683,0.115919801,0.015091473,,,,0.113501403
4,485013,58,0.280976184,16.29661865,0.134755183,0.017694222,,,,0.06703597
5,485014,58,0.240859008,13.96982245,0.142543737,0.01871691,,,,0.063948665
6,485015,59,0.199782953,11.78719421,0.145516619,0.01894465,,,,0.073763928
7,485016,58,0.114056795,6.615294123,0.160978325,0.02113749,,,,0.085227214
8,485017,58,0.212058149,12.29937266,0.180628875,0.023717733,,,,0.073150942
9,485018,59,0.176913698,10.4379082,0.184634417,0.024037354,,,,
10,485019,58,0.174906908,10.14460065,0.15480891,0.020327406,,,,
11,485020,59,0.230639855,13.60775146,0.112015817,0.014583217,,,,
12,485021,58,0.249884226,14.49328511,0.083528164,0.010967785,,,,
13,485022,58,0.205973659,11.94647224,0.110140986,0.01446222,,,,
14,485023,59,0.131806089,7.776559279,0.126636737,0.016486699,,,,
15,485024,58,0.002212058,0.128299372,0.014572185,0.001913422,,,,
16,485025,59,0,0,0,0,,,,
17,485026,58,0,0,0,0,,,,
18,485027,58,0,0,0,0,,,,
19,485028,59,0,0,0,0,,,,
20,485029,58,0,0,0,0,,,,
21,485030,59,0,0,0,0,,,,
22,485031,58,0,0,0,0,,,,
23,485032,59,0,0,0,0,,,,
24,485033,58,1.92E-07,1.12E-05,1.46E-06,1.92E-07,,,,
25,485034,59,0,0,0,0,,,,
26,485035,58,0,0,0,0,,,,
27,485036,59,0.069047636,4.073810531,0.103034338,0.013413928,,,,
28,485037,58,0.027741443,1.609003689,0.075472734,0.009910055,,,,
29,485038,58,0.050525192,2.930461156,0.103094988,0.013537035,,,,
30,485039,59,0.174221772,10.27908452,0.136762976,0.017805023,,,,
31,485040,58,0.181465635,10.52500685,0.105690775,0.013877879,,,,
32,485041,59,0.187475003,11.06102516,0.117056112,0.015239408,,,,
33,485042,58,0.177395239,10.28892388,0.11385639,0.014950076,,,,
